Date,Close,Volume,DayOfWeek,Month
2022-08-15 16:00:00,333.06,38266614,0,8
2022-08-16 16:00:00,332.28,41186864,1,8
2022-08-17 16:00:00,328.49,47842155,2,8
2022-08-18 16:00:00,329.28,41937172,3,8
2022-08-19 16:00:00,322.86,51770570,4,8
2022-08-22 16:00:00,314.36,51098890,0,8
2022-08-23 16:00:00,314.1,39497074,1,8
2022-08-24 16:00:00,315.01,38057059,2,8
2022-08-25 16:00:00,320.58,38098255,3,8
2022-08-26 16:00:00,307.44,69047740,4,8
2022-08-29 16:00:00,304.41,48321851,0,8
2022-08-30 16:00:00,301.02,51184500,1,8
2022-08-31 16:00:00,299.27,50044041,2,8
2022-09-01 16:00:00,299.4,57990745,3,9
2022-09-02 16:00:00,295.17,64666839,4,9
2022-09-06 16:00:00,293.05,57005444,1,9
2022-09-07 16:00:00,298.97,49260381,2,9
2022-09-08 16:00:00,300.52,55649821,3,9
2022-09-09 16:00:00,307.09,56125215,4,9
2022-09-12 16:00:00,310.74,45905737,0,9
2022-09-13 16:00:00,293.7,79562172,1,9
2022-09-14 16:00:00,296.03,54907198,2,9
2022-09-15 16:00:00,291.1,65299411,3,9
2022-09-16 16:00:00,289.32,79920391,4,9
2022-09-19 16:00:00,291.05,52613831,0,9
2022-09-20 16:00:00,288.73,51271117,1,9
2022-09-21 16:00:00,283.56,82930963,2,9
2022-09-22 16:00:00,280.07,62757073,3,9
2022-09-23 16:00:00,275.51,74815189,4,9
2022-09-26 16:00:00,274.37,71176694,0,9
2022-09-27 16:00:00,274.48,69780115,1,9
2022-09-28 16:00:00,279.94,79652140,2,9
2022-09-29 16:00:00,271.87,81215957,3,9
2022-09-30 16:00:00,267.26,78482378,4,9
2022-10-03 16:00:00,273.53,61267449,0,10
2022-10-04 16:00:00,282.13,66696931,1,10
2022-10-05 16:00:00,281.98,55766318,2,10
2022-10-06 16:00:00,279.76,53489411,3,10
2022-10-07 16:00:00,269.1,71354674,4,10
2022-10-10 16:00:00,266.41,60392990,0,10
2022-10-11 16:00:00,262.75,66522509,1,10
2022-10-12 16:00:00,262.66,50580179,2,10
2022-10-13 16:00:00,268.82,112894068,3,10
2022-10-14 16:00:00,260.74,77244302,4,10
2022-10-17 16:00:00,269.35,64576452,0,10
2022-10-18 16:00:00,271.48,69780995,1,10
2022-10-19 16:00:00,270.49,53115405,2,10
2022-10-20 16:00:00,269.11,60605496,3,10
2022-10-21 16:00:00,275.42,77897694,4,10
2022-10-24 16:00:00,278.45,63963569,0,10
2022-10-25 16:00:00,284.21,59014494,1,10
2022-10-26 16:00:00,277.93,63898246,2,10
2022-10-27 16:00:00,272.87,57760302,3,10
2022-10-28 16:00:00,281.22,62651312,4,10
2022-10-31 16:00:00,277.95,47741952,0,10
2022-11-01 16:00:00,275.11,45895897,1,11
2022-11-02 16:00:00,265.68,79803142,2,11
2022-11-03 16:00:00,260.49,70038903,3,11
2022-11-04 16:00:00,264.68,78313213,4,11
2022-11-07 16:00:00,267.59,47333828,0,11
2022-11-08 16:00:00,269.54,63213785,1,11
2022-11-09 16:00:00,263.32,64862129,2,11
2022-11-10 16:00:00,282.75,99256693,3,11
2022-11-11 16:00:00,287.96,66961751,4,11
2022-11-14 16:00:00,285.44,55080048,0,11
2022-11-15 16:00:00,289.39,73985372,1,11
2022-11-16 16:00:00,285.44,48859804,2,11
2022-11-17 16:00:00,284.81,55462076,3,11
2022-11-18 16:00:00,284.82,53588631,4,11
2022-11-21 16:00:00,281.89,40083527,0,11
2022-11-22 16:00:00,285.95,41873444,1,11
2022-11-23 16:00:00,288.82,46389967,2,11
2022-11-25 13:05:00,286.92,15498797,4,11
2022-11-28 16:00:00,282.71,38877045,0,11
2022-11-29 16:00:00,280.57,35618878,1,11
2022-11-30 16:00:00,293.36,74718088,2,11
2022-12-01 16:00:00,293.72,51547332,3,12
2022-12-02 16:00:00,292.55,53583172,4,12
2022-12-05 16:00:00,287.64,41482121,0,12
2022-12-06 16:00:00,281.68,53937605,1,12
2022-12-07 16:00:00,280.53,45614254,2,12
2022-12-08 16:00:00,283.85,42594913,3,12
2022-12-09 16:00:00,282.04,47860487,4,12
2022-12-12 16:00:00,285.58,35732518,0,12
2022-12-13 16:00:00,288.65,80667675,1,12
2022-12-14 16:00:00,286.51,64984432,2,12
2022-12-15 16:00:00,276.89,60554119,3,12
2022-12-16 16:00:00,274.25,68300351,4,12
2022-12-19 16:00:00,269.75,44167920,0,12
2022-12-20 16:00:00,269.54,51064199,1,12
2022-12-21 16:00:00,273.45,46394694,2,12
2022-12-22 16:00:00,266.76,60278377,3,12
2022-12-23 16:00:00,267.36,39373584,4,12
2022-12-27 16:00:00,263.58,38009005,1,12
2022-12-28 16:00:00,260.1,47139043,2,12
2022-12-29 16:00:00,266.44,45893567,3,12
2022-12-30 16:00:00,266.28,37858277,4,12
2023-01-03 16:00:00,264.48,42335325,1,1
2023-01-04 16:00:00,265.74,47754861,2,1
2023-01-05 16:00:00,261.58,45396744,3,1
2023-01-06 16:00:00,268.8,54659739,4,1
2023-01-09 16:00:00,270.54,45568676,0,1
2023-01-10 16:00:00,272.83,35247763,1,1
2023-01-11 16:00:00,277.55,44077036,2,1
2023-01-12 16:00:00,279.05,60599953,3,1
2023-01-13 16:00:00,280.97,44802936,4,1
2023-01-17 16:00:00,281.54,36269738,1,1
2023-01-18 16:00:00,277.88,47754549,2,1
2023-01-19 16:00:00,275.15,44150436,3,1
2023-01-20 16:00:00,282.68,60613606,4,1
2023-01-23 16:00:00,288.96,52799905,0,1
2023-01-24 16:00:00,288.37,44875146,1,1
2023-01-25 16:00:00,287.73,50872022,2,1
2023-01-26 16:00:00,293.34,51596335,3,1
2023-01-27 16:00:00,296.26,56441939,4,1
2023-01-30 16:00:00,290.27,49405833,0,1
2023-01-31 16:00:00,294.62,46705106,1,1
2023-02-01 16:00:00,300.92,67562173,2,2
2023-02-02 16:00:00,311.72,83070628,3,2
2023-02-03 16:00:00,306.18,76170804,4,2
2023-02-06 16:00:00,303.59,40802348,0,2
2023-02-07 16:00:00,309.88,67583981,1,2
2023-02-08 16:00:00,304.37,56720860,2,2
2023-02-09 16:00:00,301.68,49137818,3,2
2023-02-10 16:00:00,299.7,50050104,4,2
2023-02-13 16:00:00,304.5,39636720,0,2
2023-02-14 16:00:00,306.75,64079057,1,2
2023-02-15 16:00:00,309.1,43427298,2,2
2023-02-16 16:00:00,303.3,59498630,3,2
2023-02-17 16:00:00,301.16,58230729,4,2
2023-02-21 16:00:00,294.03,46526708,1,2
2023-02-22 16:00:00,294.25,51389237,2,2
2023-02-23 16:00:00,296.82,69294443,3,2
2023-02-24 16:00:00,291.85,74331958,4,2
2023-02-27 16:00:00,293.94,48995009,0,2
2023-02-28 16:00:00,293.56,48243141,1,2
2023-03-01 16:00:00,291.2,58286972,2,3
2023-03-02 16:00:00,293.61,53738557,3,3
2023-03-03 16:00:00,299.68,60511540,4,3
2023-03-06 16:00:00,300.02,56736294,0,3
2023-03-07 16:00:00,296.34,65955756,1,3
2023-03-08 16:00:00,297.82,50876265,2,3
2023-03-09 16:00:00,292.66,71456691,3,3
2023-03-10 16:00:00,288.55,98593561,4,3
2023-03-13 16:00:00,290.69,97123603,0,3
2023-03-14 16:00:00,297.37,73602545,1,3
2023-03-15 16:00:00,298.93,83631535,2,3
2023-03-16 16:00:00,306.81,98556824,3,3
2023-03-17 16:00:00,305.36,89923732,4,3
2023-03-20 16:00:00,305.97,56359491,0,3
2023-03-21 16:00:00,310.34,49757048,1,3
2023-03-22 16:00:00,306.12,75791914,2,3
2023-03-23 16:00:00,309.75,74575981,3,3
2023-03-24 16:00:00,310.89,57245803,4,3
2023-03-27 16:00:00,308.76,50287407,0,3
2023-03-28 16:00:00,307.12,48585917,1,3
2023-03-29 16:00:00,312.72,53274266,2,3
2023-03-30 16:00:00,315.68,58354808,3,3
2023-03-31 16:00:00,320.93,62138097,4,3
2023-04-03 16:00:00,320.15,47126839,0,4
